,TemperatureC,Humidity,Conditions
2017-01-01 06:00:00+08:00,13.33333333,96.0,Foggy
2017-01-01 07:00:00+08:00,13.39444444,96.0,Foggy
2017-01-01 08:00:00+08:00,13.45,96.0,Foggy
2017-01-01 09:00:00+08:00,13.51111111,96.0,Foggy
2017-01-01 10:00:00+08:00,16.31111111,82.0,Clear
2017-01-01 11:00:00+08:00,16.33333333,82.0,Clear
2017-01-01 12:00:00+08:00,17.0,81.0,Mostly Cloudy
2017-01-01 13:00:00+08:00,18.97777778,67.0,Clear
2017-01-01 14:00:00+08:00,22.11666667,57.0,Clear
2017-01-01 15:00:00+08:00,23.17777778,56.0,Clear
2017-01-01 16:00:00+08:00,26.77222222,40.0,Clear
2017-01-01 17:00:00+08:00,26.66666667,41.0,Clear
2017-01-01 18:00:00+08:00,25.95,46.0,Clear
2017-01-01 19:00:00+08:00,26.72222222,43.0,Clear
2017-01-01 20:00:00+08:00,26.64444444,43.0,Foggy
2017-01-01 21:00:00+08:00,24.2,54.0,Partly Cloudy
2017-01-01 22:00:00+08:00,23.51111111,52.0,Clear
2017-01-01 23:00:00+08:00,23.46666667,53.0,Clear
2017-01-02 02:00:00+08:00,13.33333333,96.0,Foggy
2017-01-02 03:00:00+08:00,13.39444444,96.0,Foggy
2017-01-02 04:00:00+08:00,13.45,96.0,Foggy
2017-01-02 05:00:00+08:00,13.51111111,96.0,Foggy
2017-01-02 06:00:00+08:00,16.31111111,82.0,Clear
2017-01-02 07:00:00+08:00,16.33333333,82.0,Clear
2017-01-02 08:00:00+08:00,17.0,81.0,Mostly Cloudy
2017-01-02 09:00:00+08:00,18.97777778,67.0,Clear
2017-01-02 10:00:00+08:00,22.11666667,57.0,Clear
2017-01-02 11:00:00+08:00,23.17777778,56.0,Clear
2017-01-02 12:00:00+08:00,26.77222222,40.0,Clear
2017-01-02 13:00:00+08:00,26.66666667,41.0,Clear
2017-01-02 14:00:00+08:00,25.95,46.0,Clear
2017-01-02 15:00:00+08:00,26.72222222,43.0,Clear
2017-01-02 16:00:00+08:00,26.64444444,43.0,Foggy
2017-01-02 17:00:00+08:00,24.2,54.0,Partly Cloudy
2017-01-02 18:00:00+08:00,23.51111111,52.0,Clear
2017-01-02 19:00:00+08:00,23.46666667,53.0,Clear
2017-01-02 20:00:00+08:00,21.18888889,68.0,Clear
2017-01-02 21:00:00+08:00,20.88333333,66.0,Clear
2017-01-02 22:00:00+08:00,19.90555556,75.0,Clear
2017-01-02 23:00:00+08:00,18.67222222,82.0,Clear
2017-01-03 00:00:00+08:00,18.84444444,79.0,Clear
2017-01-03 01:00:00+08:00,18.88333333,79.0,Clear
2017-01-03 02:00:00+08:00,17.47777778,87.0,Clear
2017-01-03 03:00:00+08:00,17.8,85.0,Clear
2017-01-03 04:00:00+08:00,17.36111111,81.0,Clear
2017-01-03 05:00:00+08:00,17.25555556,88.0,Clear
2017-01-03 06:00:00+08:00,17.31111111,82.0,Clear
2017-01-03 07:00:00+08:00,17.36111111,87.0,Clear
2017-01-03 08:00:00+08:00,17.61666667,86.0,Clear
2017-01-03 09:00:00+08:00,21.17777778,69.0,Clear
2017-01-03 10:00:00+08:00,22.76111111,63.0,Clear
2017-01-03 11:00:00+08:00,24.0,59.0,Clear
2017-01-03 12:00:00+08:00,25.66666667,50.0,Clear
2017-01-03 13:00:00+08:00,27.09444444,49.0,Clear
2017-01-03 14:00:00+08:00,25.95,53.0,Clear
2017-01-03 15:00:00+08:00,27.13333333,49.0,Clear
2017-01-03 16:00:00+08:00,26.60555556,50.0,Clear
2017-01-03 17:00:00+08:00,24.72222222,58.0,Partly Cloudy
2017-01-03 18:00:00+08:00,23.51111111,61.0,Clear
2017-01-03 19:00:00+08:00,22.48888889,68.0,Clear
2017-01-03 20:00:00+08:00,21.66666667,75.0,Clear
2017-01-03 21:00:00+08:00,22.0,74.0,Clear
2017-01-03 22:00:00+08:00,21.02222222,79.0,Clear
2017-01-03 23:00:00+08:00,19.59444444,81.0,Clear
2017-01-04 00:00:00+08:00,19.99444444,78.0,Clear
2017-01-04 01:00:00+08:00,19.95,79.0,Clear
2017-01-04 02:00:00+08:00,18.52777778,86.0,Partly Cloudy
2017-01-04 03:00:00+08:00,18.93333333,84.0,Clear
2017-01-04 04:00:00+08:00,18.88333333,84.0,Clear
2017-01-04 05:00:00+08:00,17.65,90.0,Partly Cloudy
2017-01-04 06:00:00+08:00,17.90555556,89.0,Clear
2017-01-04 07:00:00+08:00,17.90555556,89.0,Foggy
2017-01-04 08:00:00+08:00,17.7,89.0,Foggy
2017-01-04 09:00:00+08:00,20.08888889,83.0,Clear
2017-01-04 10:00:00+08:00,20.22777778,77.0,Breezy
2017-01-04 11:00:00+08:00,21.11111111,74.0,Mostly Cloudy
2017-01-04 12:00:00+08:00,22.28888889,68.0,Clear
2017-01-04 13:00:00+08:00,23.78333333,63.0,Clear
2017-01-04 14:00:00+08:00,23.69444444,63.0,Mostly Cloudy
2017-01-04 15:00:00+08:00,24.76111111,59.0,Clear
2017-01-04 16:00:00+08:00,23.75555556,63.0,Clear
